farmer_code,farmer_gender,farmer_age,farmer_experience,farmer_house_ownership_status,farmer_job_status,farmer_dependents,farmer_marital_status,farmer_other_job_status,farmer_other_job_type,farmer_financial_loan_history,farmer_financial_loan_performance,farmer_financial_monthly_income,farmer_insurance_status,farmer_savings_status,farmer_field_irrigation,farmer_field_range_to_water,farmer_planting_phase,farmer_planting_season,farming_frequency_in_year,farmer_seeds_certificate,farmer_seeds_type,farmer_seeds_variety,farmer_field_tiles,farmer_field_owned_area,farmer_field_proposed_area,proposed_field_size_ratio,farmer_field_ph,historical_harvest,farmer_last_year_harvest,farmer_last_year_expense,farmer_farming_failure_history,farmer_planting_rotation,farmer_partnership_eratani_history,farmer_credit_score,farmer_total_loan,farmer_repayment_status,farmer_count
PTN-6244,Male,53,35,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,100,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"5,000","15,000","7,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,62,"11,749,892",Outstanding,1
PTN-6242,Female,32,6,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Belum Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,150,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"5,000","15,000","7,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,66,"11,749,892",Outstanding,1
PTN-6258,Male,25,6,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"3,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Tadah hujan,300,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi Unggul/Inbrida,Inpari 32,,1,1,100,5,"5,000","10,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Sudah pernah 1x kerjasama dengan kondisi lancar,52,"5,522,773",Lunas,1
PTN-6241,Male,57,27,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,150,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"5,000","15,000","7,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,62,"11,749,892",Outstanding,1
PTN-6239,Male,49,25,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,5,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,100,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"5,000","15,000","7,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,62,"11,749,892",Outstanding,1
PTN-6238,Male,26,13,Milik keluarga,Penggarap dengan lahan sewa dan bukan skema gadai,2,Belum Menikah,Tidak Ada,,Tidak Ada,,"3,500,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,100,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"5,000","15,000","7,500,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,65,"11,749,892",Outstanding,1
PTN-6237,Male,37,20,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,100,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"5,000","15,000","7,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,63,"11,749,892",Outstanding,1
PTN-6215,Male,37,6,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Tidak memiliki asuransi apapun,"Arisan, menabung di rumah",Irigasi Teknis,150,Masih Persiapan,Musim kemarau,3,Tidak bersertifikat,Padi Unggul/Inbrida,,,3,1,33.33,5,"1,333","12,000","12,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,67,"4,706,545",Lunas,1
PTN-6210,Female,59,29,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,2,Masih Persiapan,Musim penghujan awal,1,Bersertifikat - Label Biru,Padi hybrida,,,2,2,100,5,"6,000","12,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,69,"24,086,592",Lunas,1
PTN-6208,Male,39,9,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Cerai Hidup,Tidak Ada,,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,Irigasi Teknis,2,Masih Persiapan,Musim penghujan awal,1,Bersertifikat - Label Biru,Padi hybrida,,,2,2,100,5,"6,000","12,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,69,"24,086,592",Lunas,1
PTN-6243,Male,58,32,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,100,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"5,000","15,000","7,500,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,62,"11,749,892",Outstanding,1
